ftst_tckr_no,topc_id,kor_item_name,item_eng_dtl_name,bzns_otln_dtl_text,myd_excg_no,oppr_tot_amt,item_keyword,item_category,item_brand,customer,supplier,competitor
400590-KR,EF0000002744,SOL 글로벌탄소배출권선물IHS(합성),,"유럽(EUA) 및 북미(CCA, RGGI)지역 등 글로벌 탄소배출권에 분산 투자하는 ETF",KRX,28.52,"['신한', 'SOL 글로벌탄소배출권선물IHS(합성)', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
400970-KR,EF0000002745,TIGER Fn메타버스,,"증권사 리포트에 텍스트 마이닝 기술을 적용, 메타버스 관련 키워드와 연관도가 높은 20종목에 투자하는 ETF",KRX,339.61,"['미래에셋', 'TIGER Fn메타버스', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
401170-KR,EF0000002746,KBSTAR iSelect메타버스,,빠른 성장 및 지속적 확장을 통해 글로벌 메가트렌드로 부상하는 메타버스 핵심 기업에 투자하는 ETF,KRX,198.42,"['KB', 'KBSTAR iSelect메타버스', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
442580-KR,EF0000002860,ARIRANG 글로벌D램반도체iSelect,Hanwha ARIRANG Global DRAM iSelect ETF,TBD,KRX,0.0,"['442580', 'ARIRANG 글로벌D램반도체iSelect']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
441680-KR,EF0000002856,TIGER 미국나스닥100커버드콜(합성),MIRAE ASSET TIGER SYNTH-Nasdaq100 Covered Call ETF,TBD,KRX,0.0,"['441680', 'TIGER 미국나스닥100커버드콜(합성)']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
440640-KR,EF0000002852,KINDEX 단기채권알파액티브,KIM KINDEX Short term Bond Alpha Active ETF,TBD,KRX,0.0,"['440640', 'KINDEX 단기채권알파액티브']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
438330-KR,EF0000002854,TIGER 투자등급회사채액티브,MIRAE ASSET TIGER INVESTMENT GRADE CORPORATE BOND ACTIVE ETF,TBD,KRX,0.0,"['TIGER 투자등급회사채액티브', '438330']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
251590-KR,EF0000000201,ARIRANG 고배당저변동50,Hanwha ARIRANG High Dividend Low Vol 50 ETF,장기적인 저금리 시대에 시장대비 높은 배당 수익률이 높은 종목 중 변동성이 낮은 50개 종목을 선정하여 안정적인 수익을 기대할 수 있는 ETF,KRX,9.93,"['한화 ARIRANG 고배당저변동50증권상장지수투자신탁(주식)', '한화', 'ETF', '상장지수', 'ARIRANG 고배당저변동50', '251590']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 15}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
227570-KR,EF0000000206,TIGER 우량가치,MIRAE ASSET TIGER QUALITY VALUE ETF,"PER, PBR, 자기자본영업이익률 등이 뛰어난 상위 50개 종목으로 구성된 ETF",KRX,11.23,"['미래에셋 TIGER 우량가치 증권상장지수투자신탁(주식)', '미래에셋', 'ETF', '상장지수', 'TIGER 우량가치', '227570']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 25}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
237350-KR,EF0000000207,KODEX 코스피100,SAMSUNG KODEX 200 Large ETF,코스피 200 지수 중 시가총액비중을 기준으로 상위 100 종목으로 구성된 ETF,KRX,13.9,"['삼성KODEX코스피100증권상장지수투자신탁(주식)', '삼성', 'ETF', '상장지수', 'KODEX 코스피100', '237350']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 15}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
275290-KR,EF0000000208,KODEX MSCI밸류,SAMSUNG KODEX MSCI Enhanced Value ETF,"PER, 기업가치/영업현금흐름, PBR 상위 종목들로 구성된 ETF",KRX,7.37,"['삼성 KODEX MSCI밸류증권상장지수투자신탁(주식형)', '삼성', 'ETF', '상장지수', 'KODEX MSCI밸류', '275290']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 12}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
272230-KR,EF0000000209,KINDEX 스마트밸류,KIM KINDEX Smart Value ETF,코스피 유동시총 상위 200 종목 중 적정가치 대비 저평가된 종목에 투자하는 ETF,KRX,7.5,"['한국투자 KINDEX 스마트밸류증권상장지수투자신탁(주식)', '한국투자', 'ETF', '상장지수', 'KINDEX 스마트밸류', '272230']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 13}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
248270-KR,EF0000000210,TIGER S&P글로벌헬스케어(합성),MIRAE ASSET TIGER SYNTH-GLOBAL HEALTHCARE ETF,글로벌 고령화와 의료비 지출 등으로 빠르게 성장하는 글로벌헬스케어 기업에 분산투자하는 ETF,KRX,20.63,"['미래에셋 TIGER 글로벌헬스케어증권상장지수투자신탁(주식-', '미래에셋', 'ETF', '상장지수', 'TIGER S&P글로벌헬스케어(합성)', '248270']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
315960-KR,EF0000000211,KBSTAR 대형고배당10TR,KB KBSTAR Large Cap High Dividend10TR ETF,시가총액 상위 고배당 10종목에 투자하는 ETF,KRX,47.43,"['KB KBSTAR 대형고배당10TR증권상장지수투자신탁(주식)', 'ETF', '상장지수', 'KB', 'KBSTAR 대형고배당10TR', '315960']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 15}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
102960-KR,EF0000000212,KODEX 기계장비,SAMSUNG KODEX MACHINARY & EQUIPMENT ETF,국내 기계장비주 핵심 종목으로 구성된 ETF,KRX,12.39,"['삼성 KODEX 기계장비증권상장지수투자신탁(주식)', '삼성', 'ETF', '상장지수', 'KODEX 기계장비', '102960']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 19}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
377990-KR,EF0000000213,TIGER Fn신재생에너지,MIRAE ASSET TIGER Fn RENEWABLE ENERGY ETF Units,에너지 전환의 바람에 맞춰 글로벌 경쟁력을 갖춘 국내 신재생 에너지 기업에 투자하는 ETF,KRX,18.61,"['미래에셋 TIGER FN신재생에너지증권상장지수투자신탁(주식)', 'TIGER Fn신재생에너지', 'ETF', '상장지수', '미래에셋', 'TIGER FN신재생에너지', '377990']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 20}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
272910-KR,EF0000000214,KINDEX 중장기국공채액티브,KIM KINDEX Active Korea TreasuryAgency Bonds ETF,중장기 채권시장 수익 추구를 위해 국공채에 주로 투자하여 초과성과를 추구하는 액티브ETF ,KRX,11.2,"['한국투자 KINDEX 중장기국공채액티브증권상장지수투자신탁(', '한국투자', 'ETF', '상장지수', 'KINDEX 중장기국공채액티브', '272910']","[{'category_topc_id': 'EC0000000005', 'category': '국내국공채', 'wght_val': 14}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
139240-KR,EF0000000215,TIGER 200 철강소재,Mirae Asset Tiger Steels & Materials ETF,"코스피 200 구성종목 중 철강, 소재 섹터에 투자하는 ETF",KRX,9.36,"['미래에셋맵스 TIGER 200 철강소재 증권상장지수투자신탁(주식)', '미래에셋맵스', 'ETF', '상장지수', 'TIGER 200 철강소재', '139240']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 14}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
140700-KR,EF0000000216,KODEX 보험,Samsung KODEX Insurance ETF,국내 보험 산업을 대표하는 핵심 관련주에 투자하는 ETF,KRX,13.18,"['삼성KODEX보험증권상장지수투자신탁(주식)', '삼성', 'ETF', '상장지수', 'KODEX 보험', '140700']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 16}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
183700-KR,EF0000000217,KBSTAR 채권혼합,KB KBSTAR Fixed Income Balanced ETF,국내주식과 국고채에 3:7 비율로 투자하는 혼합형 ETF,KRX,12.57,"['KB KBSTAR 채권혼합 증권 상장지수 투자신탁(채권혼합-파생형)', 'KB', 'ETF', '상장지수', 'KBSTAR 채권혼합', '183700']","[{'category_topc_id': 'EC0000000010', 'category': '국내혼합', 'wght_val': 14}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
280320-KR,EF0000000222,KINDEX 미국IT인터넷S&P(합성 H),KIM KINDEX US INTERNET ETF(SYNTH H),4차산업 기술을 선점하고 있는 미국의 인터넷 관련 대표기업에 투자하는 ETF,KRX,12.96,"['한국투자 KINDEX 미국4차산업인터넷 증권상장지수투자신탁(주', '한국투자', 'ETF', '상장지수', 'KINDEX 미국IT인터넷S&P(합성 H)', '280320']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 14}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
239660-KR,EF0000000223,ARIRANG 우량회사채50 1년,HANWHA ARIRANG CREDIT BOND50 ETF,크레딧 채권과 국공채에 분산투자하여 수익성과 안정성을 추구하는 ETF,KRX,23.69,"['한화 ARIRANG 우량회사채50증권상장지수투자신탁(채권)', '한화', 'ETF', '상장지수', 'ARIRANG 우량회사채50 1년', '239660']","[{'category_topc_id': 'EC0000000006', 'category': '국내회사채', 'wght_val': 16}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
168300-KR,EF0000000224,KTOP 코스피50,UBS Index Solutions - Hana KTOP KOSPI50 ETF,코스피 200 지수 중에서 시가총액 상위 50여개 종목에 투자하는 ETF,KRX,6.99,"['하나 UBS KTOP KOSPI50 증권상장지수투자신탁(주식)', '하나', 'ETF', '상장지수', 'KTOP 코스피50', '168300']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 14}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
279540-KR,EF0000000225,KODEX 최소변동성,Samsung KODEX Min Vol ETF,단순 저변동성 종목 투자가 아닌 종목간 상관관계까지 고려하여 리스크를 관리하는 ETF,KRX,10.09,"['삼성 KODEX 최소변동성증권상장지수투자신탁(주식)', '삼성', 'ETF', '상장지수', 'KODEX 최소변동성', '279540']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 12}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
276000-KR,EF0000000218,TIGER 글로벌자원생산기업(합성 H),MIRAE ASSET TIGER SYNTH-MORNINGSTAR GLOBAL UPSTREAM NATURAL RESOURCES ETF(H) Units,"세계 천연자원의 소유, 관리 또는 생산 분야와 관련된 종목에 분산 투자하는 ETF",KRX,12.6,"['미래에셋TIGER모닝스타글로벌자원생산기업증권상장지수투자', '미래에셋', 'ETF', '상장지수', 'TIGER 글로벌자원생산기업(합성 H)', '276000']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 14}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
379780-KR,EF0000000219,KBSTAR 미국S&P500,KB KBSTAR SP500 ETF,미국 시장에 상장된 대형주 500종목으로 구성된 미국시장 대표지수에 투자하는 ETF,KRX,95.85,"['KB KBSTAR 미국S&P500증권상장지수투자신탁(주식)', 'ETF', '상장지수', 'KB', 'KBSTAR 미국S&P500', '379780']","[{'category_topc_id': 'EC0000000003', 'category': '해외주식:시장', 'wght_val': 17}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
245350-KR,EF0000000220,TIGER 유로스탁스배당30,MIRAE ASSET TIGER EURO STOXX DIVIDEND 30 ETF,지속적인 배당성향 증가세가 기대되는 유로지역 기업들의 배당주에 분산 투자하는 ETF,KRX,12.96,"['미래에셋 TIGER 유로스탁스배당30증권상장지수투자신탁(주식-', '미래에셋', 'ETF', '상장지수', 'TIGER 유로스탁스배당30', '245350']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 14}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
272570-KR,EF0000000126,KBSTAR 중장기국공채액티브,KB KBSTAR Mid-long Term KTB Active ETF,중장기 국공채의 안정성과 시가채권펀드의 수익성을 동시에 추구하는 ETF,KRX,25.55,"['KB KBSTAR 중장기국공채액티브증권상장지수투자신탁(채권)', 'KB', 'ETF', '상장지수', 'KBSTAR 중장기국공채액티브', '272570']","[{'category_topc_id': 'EC0000000005', 'category': '국내국공채', 'wght_val': 37}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
371450-KR,EF0000000127,TIGER 글로벌클라우드컴퓨팅INDXX,MIRAE ASSET TIGER GLOBAL CLOUD COMPUTING INDXX ETF,언택트 시대와 함께 도약하는 클라우드 산업! 글로벌 클라우드 산업에 투자하는 ETF,KRX,46.19,"['미래에셋 TIGER 글로벌클라우드컴퓨팅INDXX증권상장지수투자', 'ETF', '상장지수', '미래에셋', 'TIGER 글로벌클라우드컴퓨팅INDXX', '371450']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 41}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
365000-KR,EF0000000128,TIGER KRX인터넷K-뉴딜,Mirae Asset Tiger KRX Internet K-New Deal ETF,한국 인터넷 산업을 대표하는 10개 기업에 투자하는 ETF,KRX,47.5,"['미래에셋 TIGER KRX인터넷K-뉴딜증권상장지수투자신탁(주식)', 'ETF', '상장지수', '미래에셋', 'TIGER KRX인터넷K-뉴딜', '365000']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 39}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
280930-KR,EF0000000122,KODEX 미국러셀2000(H),Samsung KODEX US Russell 2000 ETF(H),"미국 주식 시가총액순 1,001~3,000위 종목에 투자하는 ETF",KRX,23.69,"['삼성 KODEX 미국러셀2000증권상장지수투자신탁(주식-파생형) H', '삼성', 'ETF', '상장지수', 'KODEX 미국러셀2000(H)', '280930']","[{'category_topc_id': 'EC0000000003', 'category': '해외주식:시장', 'wght_val': 41}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
122260-KR,EF0000000123,KOSEF 통안채1년,Kiwoom KOSEF MSB ETF(Fixed Income),1년 만기 통안채 수익률 추종하도록 설계된 ETF,KRX,73.15,"['키움 KOSEF 통안채1년 상장지수증권투자신탁', 'ETF', '상장지수', '키움', 'KOSEF 통안채1년', '122260']","[{'category_topc_id': 'EC0000000005', 'category': '국내국공채', 'wght_val': 33}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
117680-KR,EF0000000124,KODEX 철강,Samsung KODEX Steels ETF,국내 철강 산업을 대표하는 핵심 관련주에 투자하는 ETF,KRX,46.56,"['삼성 KODEX철강증권상장지수투자신탁(주식)', '삼성', 'ETF', '상장지수', 'KODEX 철강', '117680']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 48}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
200250-KR,EF0000000164,KOSEF 인도Nifty50(합성),Kiwoom KOSEF Synth-India ETF (H),인도의 2대 주식시장에 상장된 주요 50개의 주식 ETF,KRX,47.49,"['키움 KOSEF CNX NIFTY 인디아 증권 ETF (주식_파생형)(합성 H)', '키움', 'KOSEF 인도Nifty50(합성)', 'ETF', '상장지수', 'KOSEF 인도NIFTY50(합성)', '200250']","[{'category_topc_id': 'EC0000000003', 'category': '해외주식:시장', 'wght_val': 27}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
211900-KR,EF0000000165,KODEX 배당성장,Samsung KODEX Dividend Growth ETF,향후 배당 증가 가능성이 높은 포트폴리오에 투자하는 ETF,KRX,26.92,"['SAMSUNG KODEX DIVIDEND GROWTH ETF - EQUITY', '삼성', 'ETF', '상장지수', 'KODEX 배당성장', '211900']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 24}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
276650-KR,EF0000000166,KBSTAR 글로벌4차산업IT(합성 H),KB KBSTAR Global 4th Industry Revolution IT ETF(SYNTH H),대형 IT 기업으로 구성된 ETF,KRX,26.73,"['KB KBSTAR 글로벌4차산업IT 증권상장지수투자신탁(주식-파생형)', 'KB', 'ETF', '상장지수', 'KBSTAR 글로벌4차산업IT(합성 H)', '276650']","[{'category_topc_id': 'EC0000000009', 'category': '국내해외주식', 'wght_val': 24}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
228790-KR,EF0000000170,TIGER 화장품,MIRAE ASSET TIGER COSMETICS ETF,화장품 사업을 영위하거나 투자를 하고 있는 종목들로 편입된 ETF,KRX,37.37,"['미래에셋 TIGER 화장품 증권상장지수투자신탁(주식)', '미래에셋', 'ETF', '상장지수', 'TIGER 화장품', '228790']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 28}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
266420-KR,EF0000000171,KODEX 헬스케어,SAMSUNG KODEX Healthcare ETF,국내 헬스케어 산업을 대표하는 핵심 관련주에 투자하는 ETF,KRX,24.93,"['삼성KODEX헬스케어증권상장지수투자신탁(주식형)', '삼성', 'ETF', '상장지수', 'KODEX 헬스케어', '266420']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 20}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
316670-KR,EF0000000172,KOSEF 코스닥150,Kiwoom KOSEF KOSDAQ150 ETF,"국내 코스닥 시장 중 시가총액, 유동성, 업종분포 등을 고려하여 선정한 150 종목으로 구성된 ETF",KRX,14.27,"['키움 KOSEF 코스닥150증권상장지수투자신탁(주식)', 'ETF', '상장지수', '키움', 'KOSEF 코스닥150', '316670']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 17}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
285690-KR,EF0000000173,FOCUS ESG리더스,VI FOCUS ESG Leaders 150 ETF Units,ESG(환경/사회/지배구조) 순위 상위 기업들로 구성된 ETF,KRX,12.39,"['브이아이 FOCUS ESG LEADERS150증권상장지수투자신탁', '브이아이', 'ETF', '상장지수', 'FOCUS ESG리더스', '285690']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 23}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
